Date,Token,Nodes
2018-12-20,396,"[3336, 111241, 175307, 91856, 101330, 13523, 102292, 28501, 82782, 9822, 106785, 86565, 92581, 101733, 73703, 89835, 86255, 4017, 90162, 17717, 84287]"
2018-12-20,641,"[105856, 107009, 95296, 175237, 111819, 105743, 107606, 102679, 105686, 106142, 108703, 98208, 23523, 111204, 154922, 44594, 93874, 105716, 107705, 111930, 106749]"
2018-12-22,641,"[107009, 13953, 171073, 106696, 107338, 105740, 13523, 105886, 108703, 98208, 175843, 106469, 154922, 156078, 175919, 44594, 105716, 107317, 70072, 111930, 106749]"
2018-12-30,568,"[155971, 106436, 26501, 132677, 4934, 95308, 156436, 104597, 166229, 108375, 175965, 108637, 104480, 153763, 110563, 84068, 163686, 12346, 104379, 158460, 161918]"
2018-12-31,966,"[170881, 180292, 157001, 175498, 170699, 168723, 170388, 180243, 76886, 162073, 170267, 180062, 178088, 170858, 169259, 170478, 155311, 93167, 180083, 175291, 175933]"
2019-01-04,641,"[107009, 38724, 109320, 111819, 105743, 103897, 80857, 175003, 1052, 95994, 108703, 98208, 23523, 106469, 154922, 156524, 49842, 107892, 111930, 106749, 106047]"
2019-01-10,484,"[92228, 182982, 93641, 85072, 181968, 165205, 169753, 182876, 109150, 94559, 182048, 174946, 175847, 180523, 175404, 182319, 105012, 101433, 180922, 92092, 92093]"
2019-01-20,484,"[92228, 185738, 165197, 183758, 159437, 92241, 185811, 165205, 181398, 51670, 185698, 95529, 183723, 182259, 185525, 180534, 183351, 170166, 92092, 92093, 180350]"
2019-01-20,641,"[107009, 107398, 106696, 111819, 106198, 102679, 107606, 105886, 108703, 98208, 183843, 23523, 106469, 105576, 185644, 93874, 107892, 105716, 111930, 106749, 106047]"
2019-01-21,484,"[92228, 165197, 183758, 94993, 175377, 155539, 156561, 165205, 170903, 98525, 185853, 108770, 185828, 98045, 180523, 184044, 159151, 180534, 165050, 92092, 92093]"
2019-01-21,641,"[107009, 111819, 150990, 174735, 86288, 13523, 105686, 90842, 108703, 98208, 167329, 183843, 106469, 154922, 89835, 49842, 107892, 105716, 108537, 106749, 106047]"
2019-01-28,484,"[92228, 186888, 181769, 94993, 165205, 183190, 94559, 182048, 180448, 187104, 103206, 179817, 180523, 183723, 186033, 32628, 180350, 186171, 92092, 92093, 98046]"
2019-01-29,534,"[90691, 26501, 167621, 112010, 187345, 170834, 107729, 182678, 168535, 102043, 84189, 182688, 185889, 155938, 175078, 187239, 171048, 174504, 103084, 185586, 157759]"
2019-02-01,484,"[106432, 106876, 92228, 187847, 186889, 187789, 109776, 94993, 187796, 165205, 187863, 182048, 187428, 175847, 95529, 179817, 167924, 187832, 187835, 186684, 92093]"
2019-02-15,668,"[158784, 109185, 156417, 159289, 70417, 168660, 107989, 160604, 104349, 166173, 108318, 190497, 179301, 190440, 160616, 161706, 190381, 175341, 55089, 183670, 108217]"
2019-02-15,966,"[181376, 157001, 176906, 49165, 187728, 178579, 181268, 168723, 169110, 19413, 186648, 162073, 95446, 170267, 69341, 156766, 190367, 178088, 70122, 155246, 170478]"
2019-02-17,668,"[190848, 156417, 158980, 108295, 190218, 190864, 190865, 175125, 107989, 165975, 158807, 180569, 1183, 189860, 189287, 190440, 161706, 175799, 174777, 190843, 161214]"
2019-02-18,668,"[161217, 166334, 163463, 190921, 190987, 190989, 190990, 111311, 175761, 181650, 156563, 175125, 107989, 190934, 112032, 108003, 153704, 160557, 70072, 956, 161214]"
2019-02-28,668,"[145408, 109185, 83074, 161217, 192388, 175943, 192200, 112333, 175955, 107989, 106965, 180569, 189860, 161706, 179435, 160557, 183670, 154809, 187002, 111099, 161214]"
2019-03-03,668,"[108610, 192837, 175943, 192200, 156747, 171087, 107989, 165975, 177305, 107996, 189731, 189860, 148261, 161214, 193064, 161706, 183212, 193080, 175673, 111099, 168766]"
2019-03-08,1061,"[194048, 194177, 194113, 194120, 193736, 193098, 180298, 194189, 193168, 186449, 193171, 190996, 194139, 194143, 194081, 179746, 194089, 194157, 194097, 194103, 187967]"
2019-03-23,668,"[161217, 161732, 53894, 192200, 175673, 196434, 207699, 107989, 108377, 111642, 108699, 199580, 207710, 198062, 207793, 3185, 208055, 107832, 154809, 175420, 161214]"
2019-03-23,983,"[170688, 180861, 157769, 95447, 189596, 188956, 1183, 169958, 186091, 190443, 12157, 166702, 158191, 91504, 49842, 91634, 205556, 109688, 193787, 160957, 82366]"
2019-03-25,668,"[156417, 161217, 208899, 192834, 192200, 209294, 108217, 107989, 158807, 165975, 103193, 108377, 107996, 200864, 109796, 91433, 160557, 198062, 111666, 175673, 70462]"
2019-03-26,266,"[102208, 168318, 72580, 70278, 65042, 106260, 194713, 208224, 72547, 64355, 72556, 72622, 1790, 72627, 72692, 201013, 66168, 72571, 72572, 196669, 209406]"
2019-03-26,1139,"[95296, 92417, 180546, 103106, 189963, 186833, 57235, 185556, 185557, 185560, 193177, 63904, 7842, 186213, 186153, 3243, 14894, 102899, 85363, 68405, 85048]"
