Token,Nodes,Smart_Contract_Flags,Dates
17018,"(3808309,)","(0,)","2022-07-02, 2022-07-06"
11144,"(3735046,)","(0,)","2022-07-07, 2022-07-09"
23678,"(3955422,)","(0,)","2022-08-01, 2022-08-05"
14548,"(5167344,)","(0,)","2022-12-14, 2022-12-15, 2022-12-17, 2022-12-19"
22629,"(2098170,)","(0,)","2022-08-06, 2023-10-06"
54888,"(3613572,)","(0,)","2022-08-09, 2022-08-16, 2022-08-17, 2022-08-20"
80992,"(3425935,)","(0,)","2022-08-11, 2022-08-12"
15671,"(224774,)","(0,)","2022-08-12, 2023-03-09"
24449,"(2624844,)","(0,)","2022-08-12, 2022-11-04, 2022-12-13, 2023-02-28, 2023-03-10, 2023-12-20"
57836,"(4154269,)","(0,)","2022-08-13, 2022-12-24"
82640,"(3217761,)","(0,)","2022-08-13, 2022-08-16"
88036,"(4167398,)","(0,)","2022-08-14, 2022-10-19"
69337,"(3967571,)","(0,)","2023-09-12, 2023-10-05"
72415,"(3284054,)","(0,)","2022-09-13, 2022-09-15"
67399,"(3598084,)","(0,)","2022-09-14, 2024-03-10"
74850,"(3137009,)","(0,)","2022-09-16, 2022-12-07"
27796,"(2526443,)","(0,)","2023-01-03, 2023-04-09"
27796,"(2526825,)","(0,)","2023-02-13, 2023-02-14"
86733,"(4130144,)","(0,)","2022-09-19, 2022-09-20"
22836,"(3375081,)","(0,)","2022-09-21, 2023-10-25"
22836,"(3137009,)","(0,)","2022-12-07, 2023-03-24"
20088,"(4587119,)","(0,)","2022-09-25, 2022-10-31, 2022-12-10"
78759,"(3933535,)","(0,)","2022-10-21, 2022-10-24"
97697,"(3945207,)","(0,)","2022-10-25, 2022-10-26"
95266,"(4345487,)","(0,)","2022-10-28, 2022-10-29, 2022-11-21, 2022-12-12"
86235,"(1474145,)","(0,)","2022-10-29, 2023-02-23"
103979,"(468833,)","(0,)","2022-11-04, 2022-11-08, 2023-02-23, 2023-05-17"
85593,"(4891866,)","(0,)","2022-11-10, 2022-11-11"
60239,"(618942,)","(0,)","2023-08-28, 2024-01-11, 2024-03-06"
117216,"(475731,)","(0,)","2022-11-28, 2022-12-01"
106844,"(5041868,)","(0,)","2022-11-29, 2022-12-04, 2022-12-10"
29109,"(3137009,)","(0,)","2022-11-30, 2023-02-08, 2023-02-17"
58924,"(3546898,)","(0,)","2022-12-04, 2022-12-28, 2023-02-12, 2023-02-15, 2023-02-21"
71919,"(2624844,)","(0,)","2022-12-07, 2023-01-27, 2023-02-27, 2023-03-31, 2023-06-13, 2024-02-22"
80239,"(2624844,)","(0,)","2022-12-07, 2023-12-20"
126036,"(757207,)","(0,)","2022-12-12, 2022-12-13, 2022-12-21, 2022-12-23, 2022-12-24, 2022-12-25, 2022-12-26, 2023-01-14, 2023-01-15"
94067,"(5280779,)","(0,)","2022-12-23, 2022-12-25"
69832,"(1346747,)","(0,)","2022-12-28, 2023-01-05, 2023-02-10"
130173,"(2238543,)","(0,)","2022-12-28, 2023-01-02"
131565,"(5308737,)","(0,)","2023-01-02, 2023-01-06"
87749,"(5371073,)","(0,)","2023-01-03, 2023-03-11"
130162,"(961064,)","(0,)","2023-01-13, 2023-01-15"
104689,"(5167344,)","(0,)","2023-01-27, 2023-02-01"
147939,"(5254127,)","(0,)","2023-02-04, 2023-02-06"
78442,"(2624844,)","(0,)","2023-02-16, 2023-05-15, 2023-06-14, 2024-01-24, 2024-02-22"
152277,"(5654703,)","(0,)","2023-02-20, 2023-02-23, 2023-04-04, 2023-04-05, 2023-04-12"
154878,"(5700246,)","(0,)","2023-02-22, 2023-02-24"
81558,"(3982535,)","(0,)","2023-02-25, 2023-04-08"
105794,"(3347460,)","(0,)","2023-02-25, 2023-02-26"
57831,"(4119469,)","(0,)","2023-02-27, 2023-03-09, 2023-03-30"
137779,"(5464874,)","(0,)","2023-03-02, 2023-03-18"
156425,"(5318981,)","(0,)","2023-03-02, 2023-03-27"
104332,"(3710652,)","(0,)","2023-03-06, 2023-03-09"
29891,"(5697147,)","(0,)","2023-03-20, 2023-05-25"
163649,"(6156728,)","(0,)","2023-03-24, 2023-03-28"
89885,"(6217126,)","(0,)","2023-03-30, 2023-04-02"
167663,"(6240921,)","(0,)","2023-04-03, 2023-04-05"
49565,"(3526399,)","(0,)","2023-05-05, 2023-06-19, 2023-07-01"
49565,"(3179061,)","(0,)","2023-10-28, 2024-01-09"
102840,"(6101299,)","(0,)","2023-04-02, 2023-04-03"
168074,"(6101299,)","(0,)","2023-04-05, 2023-04-06, 2023-04-09"
145777,"(6101299,)","(0,)","2023-04-09, 2023-04-10"
169123,"(6280237,)","(0,)","2023-04-10, 2023-07-29"
13912,"(6101299,)","(0,)","2023-05-16, 2023-05-17"
169052,"(6283762,)","(0,)","2023-08-26, 2023-10-24"
174151,"(5958364,)","(0,)","2023-05-31, 2023-07-12"
177712,"(6595953,)","(0,)","2023-06-01, 2023-06-04, 2023-06-08, 2023-06-09"
58586,"(6625501,)","(0,)","2023-06-04, 2023-06-10"
103565,"(5616262,)","(0,)","2023-06-12, 2023-10-30, 2023-10-31"
22653,"(7059679,)","(0,)","2023-09-10, 2023-09-13, 2024-01-23"
