
File: /home/prio/loc_project/Data/19000000to19249999_ERC721Transaction.csv
Matching Rows:
58       1024651  1455832282  0xdd6456fa21b6f256c3f00463bc0fa2aed40314aec42884d97aec2c0372994699  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x6e5ae67fec2d5addb82972086f65f6a3542837dd               0             0    508000000
59       1024651  1455832282  0xdd6456fa21b6f256c3f00463bc0fa2aed40314aec42884d97aec2c0372994699  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1       660400
62       1024949  1455837626  0xd91ebf819d5b2293df5f9c8e8d6e11cf5f8e92d5aafdbaec467ea361226053a5  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c  0x5d2c24efac49825f682b5d334428f1a5c96acc09               1             1       278793
63       1024949  1455837626  0xd91ebf819d5b2293df5f9c8e8d6e11cf5f8e92d5aafdbaec467ea361226053a5  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c               0             1   1000000000
73       1031100  1455943225  0xe279b556372d9c76c87e68539f15837daec8a4046eeb06ce63dfc8fb26e8c4e6  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x3835169f71f2854c299d033a70f9e407ea453213  0xd2f1f8d517263b023482ce4fbebc944ffa22a1d0               0             1     10000000
76       1031118  1455943519  0x525c58fd8f6ff0f2cab2ad42e5393b0be1eb332d370529f70be18000d2f646f1  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0xd2f1f8d517263b023482ce4fbebc944ffa22a1d0  0xb51446cc4291b0882438b20b57b6e6c0329cf62e               1             0      5000000
77       1031118  1455943519  0x525c58fd8f6ff0f2cab2ad42e5393b0be1eb332d370529f70be18000d2f646f1  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0xd2f1f8d517263b023482ce4fbebc944ffa22a1d0  0x5d2c24efac49825f682b5d334428f1a5c96acc09               1             1         6500
82       1031171  1455944412  0x6a1e46bf093f7ac79a89c27c36dc444575da36b0dc96f845bbaf9af705488d8b  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0xd2f1f8d517263b023482ce4fbebc944ffa22a1d0  0x3835169f71f2854c299d033a70f9e407ea453213               1             0      4987017
83       1031171  1455944412  0x6a1e46bf093f7ac79a89c27c36dc444575da36b0dc96f845bbaf9af705488d8b  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0xd2f1f8d517263b023482ce4fbebc944ffa22a1d0  0x5d2c24efac49825f682b5d334428f1a5c96acc09               1             1         6483
125      1057568  1456397412  0xb4ca474d5940bf0505c6cb37abb099ae0f54622379fdfe63aa5b6667bbf1afcc  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c  0x5d2c24efac49825f682b5d334428f1a5c96acc09               1             1      1734424
126      1057568  1456397412  0xb4ca474d5940bf0505c6cb37abb099ae0f54622379fdfe63aa5b6667bbf1afcc  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c               0             1  14270000000
128      1057590  1456397970  0x546d7eed3ea05bcf33a2376a609a4fab6121b2013cdd53b681a1cd3c5ff97b5c  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x61f9bc2fc2dad0f5bb1b872d72c2cd8ff283ec4c               0             1  15560000000
130      1062796  1456485109  0x6357e32f091df1422cd28f22fc462f3828fe6ee70876e938b5a6dfc955970f97  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1       114211
