Date,Token,Nodes
2020-02-02,746,"[181765, 109322, 231179, 151827, 227348, 189975, 183836, 182044, 192542, 327715, 445223, 177449, 404014, 94004, 444981, 188982, 469046, 182587, 209725, 197439, 478530, 478531, 187716, 215886, 418383, 478292, 474965, 441182, 178272, 213857, 436578, 193125, 165222, 209258, 424302, 192883, 193910, 180855, 191351, 169593, 478331, 104572, 405883, 170112, 231043, 469127, 169353, 478602, 455310, 182671, 171153, 435858, 153746, 82069, 478615, 428184, 418464, 291747, 199078, 186281, 93360, 154545, 93874, 468147, 104369, 91059, 476084, 171443, 181183, 198080, 236993, 175298, 445637, 440006, 93895, 175047, 191945, 225994, 193228, 394956, 169678, 155341, 180690, 466644, 470229, 155872, 189153, 189920, 110563, 155877, 392680, 187880, 428780, 181485, 187372, 441325, 421105, 417010, 477943, 153081]"
2020-02-12,3395,"[444928, 503811, 44553, 503822, 56599, 434714, 500510, 7200, 442148, 442149, 501543, 1322, 503855, 504118, 502071, 504122, 503867, 192828, 478711, 502086, 502088, 501576, 500554, 103242, 504136, 454989, 504137, 183120, 183635, 504150, 474967, 503898, 445020, 504158, 107103, 450143, 503908, 503909, 233573, 502116, 503912, 175209, 99178, 445803, 502124, 476012, 107886, 500337, 468081, 502131, 201075, 436857, 502138, 470403, 232070, 503943, 502154, 503693, 490894, 502160, 436886, 502172, 449439, 500640, 500643, 465061, 503976, 503980, 439728, 424627, 462516, 501431, 403639, 67257, 503994, 452287, 453064, 504013, 436944, 421330, 475604, 155607, 461276, 405727, 501215, 501473, 90082, 449763, 232163, 108003, 479717, 215527, 504048, 170227, 504051, 502007, 423673, 438266, 489724, 501247]"
2020-02-14,3481,"[227073, 179457, 430344, 455437, 105491, 433686, 445980, 189733, 102720, 500314, 84063, 454497, 234854, 398954, 433773, 477553, 477300, 186228, 399481, 232058, 454013, 185986, 433798, 506762, 506763, 506764, 506765, 506767, 506768, 506769, 454032, 506771, 506774, 439191, 506776, 506777, 506778, 506779, 477084, 506780, 210078, 506781, 500384, 506783, 506784, 506785, 506786, 477349, 454050, 446631, 438700, 506799, 506800, 506801, 506802, 397491, 506803, 506804, 506805, 434871, 500408, 506806, 433338, 506807, 506808, 506809, 506810, 506811, 506812, 506813, 506814, 506815, 475584, 506816, 506817, 506818, 506819, 506820, 506821, 506826, 506827, 506828, 506830, 506833, 506835, 506837, 478935, 506839, 506840, 506841, 466394, 506842, 506848, 506849, 506850, 506851, 506852, 183272, 434680, 201214]"
2020-03-14,1814,"[410630, 451081, 424458, 532745, 448265, 466188, 428559, 474129, 445202, 452122, 444442, 454938, 459043, 532772, 526628, 528422, 400934, 463654, 432424, 508716, 177455, 404021, 466744, 439608, 438587, 506947, 433732, 214597, 464454, 401735, 464968, 450375, 431690, 464460, 446540, 179021, 459343, 532814, 429145, 413020, 440927, 403555, 469351, 231528, 468846, 407663, 532847, 436592, 105592, 180346, 434042, 437884, 434044, 532860, 510595, 417667, 478596, 469387, 446097, 103313, 400791, 461719, 439966, 189088, 442017, 468130, 193699, 185250, 532388, 490662, 471718, 428202, 401068, 455341, 446384, 400816, 184504, 398012, 439229, 400831, 475593, 169418, 449996, 446669, 185550, 435409, 430547, 400853, 475624, 177898, 429034, 216301, 478190, 400625, 429298, 169714, 412657, 412658, 448252, 400893]"
2020-03-19,3223,"[166403, 516868, 524038, 186887, 440330, 417803, 214545, 406550, 532761, 504092, 327715, 463909, 510506, 524843, 501551, 194611, 192825, 182587, 171325, 473151, 95049, 470604, 472653, 206669, 536144, 536146, 536147, 440658, 529749, 414299, 470619, 222811, 501596, 185952, 536417, 536418, 160867, 536419, 199269, 536420, 536421, 536422, 536423, 535146, 536424, 535660, 536425, 536426, 536427, 536430, 516976, 536432, 536433, 536435, 458100, 170358, 436348, 111753, 469135, 469148, 478366, 85665, 193699, 248228, 499877, 507557, 528296, 530856, 232108, 171182, 530862, 531120, 187057, 530863, 530864, 530866, 530867, 530868, 528310, 93881, 414649, 476352, 468417, 414406, 183751, 88776, 178641, 180690, 504786, 430037, 153047, 425690, 446682, 236511, 175845, 458215, 525546, 476147, 499957, 528377]"
2020-04-20,3223,"[528899, 410630, 546056, 440330, 185866, 435730, 474131, 196884, 532501, 539925, 526617, 473627, 445723, 504092, 102434, 327715, 544036, 546086, 546088, 514346, 463916, 546092, 546094, 546095, 503859, 182580, 528692, 503864, 501567, 501571, 461124, 186437, 547915, 209739, 417614, 540752, 540753, 190041, 414299, 501596, 528377, 547934, 434272, 536417, 444257, 444259, 478311, 169324, 469105, 181365, 543349, 469109, 547701, 474998, 225915, 436348, 174972, 190596, 532874, 534668, 455310, 501395, 410520, 193699, 499877, 478375, 428202, 507563, 547755, 438193, 93874, 501940, 537273, 406460, 468417, 507330, 153542, 183751, 88776, 179400, 547528, 171211, 475082, 175314, 180690, 430547, 193751, 446682, 458215, 506344, 547822, 111343, 412657, 512497, 476147, 200692, 501494, 435703, 396793, 534010]"
2020-04-23,2557,"[544768, 538882, 210437, 474117, 463886, 467729, 526610, 455443, 392213, 431644, 450333, 186398, 475933, 461345, 475170, 475938, 435247, 461873, 463666, 475445, 475190, 466744, 440123, 526396, 455228, 464700, 470332, 464703, 542785, 833, 458307, 548674, 526405, 454467, 472400, 525141, 478551, 543070, 469601, 515425, 476261, 194405, 228710, 187751, 405351, 474985, 437868, 473969, 454771, 466803, 459124, 467325, 402308, 464260, 530056, 111753, 463759, 169620, 507541, 8864, 194209, 531105, 459944, 102056, 473261, 468141, 421298, 75703, 531899, 515516, 454845, 431297, 457923, 451015, 473032, 461769, 454347, 435918, 515534, 155857, 497362, 463826, 322777, 464603, 438236, 541405, 464094, 455389, 548830, 461282, 455909, 476390, 545511, 500198, 463599, 469232, 460275, 209141, 462325, 548604]"
2020-05-30,4939,"[556288, 560901, 559878, 555530, 555532, 555535, 559119, 555793, 555794, 555540, 555541, 555796, 555544, 555545, 555549, 556322, 555555, 555811, 555557, 555812, 555559, 561703, 555561, 555814, 555816, 555818, 556078, 555568, 555570, 555826, 555827, 556339, 555829, 556338, 555836, 555838, 555839, 555840, 555842, 555845, 558918, 556357, 555848, 555849, 555850, 555851, 555857, 555861, 561245, 560479, 557922, 557411, 555875, 555881, 558442, 555884, 557168, 556400, 556660, 556405, 555893, 557434, 555900, 555901, 555902, 555910, 556426, 561546, 555914, 556176, 556178, 556184, 556186, 555930, 561312, 557218, 555939, 555952, 557752, 560569, 555962, 556221, 556225, 556230, 556233, 556236, 555985, 556244, 556246, 556249, 556251, 560095, 560097, 556258, 556263, 556270, 556278, 556023, 556285, 556287]"
2020-07-22,5353,"[582147, 582151, 582156, 582159, 582162, 582165, 104725, 582168, 582172, 582179, 582185, 582190, 582195, 68405, 582201, 582205, 582209, 582212, 582215, 582217, 582222, 582225, 582227, 582230, 581974, 581975, 582234, 581979, 582236, 582239, 343137, 582242, 581987, 582245, 582247, 582252, 582255, 581999, 582258, 582261, 582264, 582268, 237692, 453759, 582017, 582274, 582020, 582277, 582280, 582025, 582283, 413327, 582288, 582033, 582290, 582036, 582295, 582299, 582043, 581280, 582304, 582048, 582307, 312997, 582310, 582053, 469926, 582056, 582315, 582318, 582062, 582320, 582065, 582323, 582068, 582326, 582073, 582330, 582332, 369853, 582076, 582081, 582086, 582092, 551887, 582097, 582100, 582105, 34014, 477152, 582112, 582115, 582119, 582122, 582126, 582129, 582132, 582135, 582138, 582143]"
2020-07-24,53,"[454147, 236803, 461572, 581899, 232461, 91154, 24594, 395028, 557332, 407575, 564247, 582937, 370714, 402719, 486435, 582950, 581927, 21544, 582952, 568104, 236589, 410670, 33583, 156208, 234545, 233525, 236598, 825, 46138, 471353, 196923, 68157, 527422, 56895, 828, 234566, 48455, 434249, 405579, 581707, 582738, 544082, 579414, 582487, 504152, 209753, 580957, 360543, 235104, 441961, 40809, 235118, 235125, 391285, 550009, 194426, 392578, 234629, 228742, 583046, 506760, 581260, 1168, 583058, 397459, 574622, 63904, 550562, 22434, 52389, 583079, 451496, 582830, 561585, 454324, 565433, 577724, 211134, 391360, 559554, 553668, 582602, 580559, 582872, 104922, 26843, 391389, 235998, 582373, 402149, 165093, 541929, 192496, 106992, 579315, 571891, 515575, 231416, 569850, 582654]"
