Token,Nodes,Dates
641,"[107009, 13953, 106436, 106696, 111819, 48587, 105548, 13523, 106261, 106198, 106454, 107606, 83481, 80857, 95994, 1052, 108703, 167329, 23523, 106809, 170152, 168681, 154922, 156078, 166702, 105716, 162744, 107705, 111930, 106749]",2018-12-03
1002,"[72584, 109448, 169418, 155341, 170062, 171341, 171346, 159186, 102292, 82069, 171349, 169686, 95447, 104666, 171355, 169244, 171357, 102434, 159202, 171300, 152613, 102181, 168807, 171112, 171306, 170416, 88630, 105592, 93881, 104379]",2018-12-12
484,"[93888, 168385, 92228, 95049, 165197, 162064, 94993, 92181, 169753, 169369, 95134, 166176, 95904, 174626, 169698, 174628, 94775, 171302, 108770, 93867, 168174, 93360, 105012, 167924, 95030, 170166, 109177, 92092, 92093, 98046]",2018-12-14
669,"[109185, 83074, 64705, 161217, 174787, 8643, 163463, 108295, 175943, 111816, 33992, 28748, 176143, 41982, 158807, 176152, 10400, 168929, 12642, 104548, 162213, 162477, 175982, 176112, 171185, 158839, 175673, 175994, 110590, 53503]",2018-12-23
641,"[107009, 108802, 38724, 109320, 179464, 106696, 111819, 105548, 48587, 107606, 102679, 80857, 168476, 69341, 108703, 98208, 67999, 43039, 23523, 106469, 154922, 107629, 171182, 49842, 180146, 105716, 107317, 107832, 111930, 106749]",2018-12-31
484,"[156035, 92228, 180169, 171023, 175377, 181394, 51670, 178902, 165213, 93726, 69341, 94559, 161630, 108770, 181348, 156327, 180523, 175404, 110573, 170160, 181491, 105012, 181492, 94195, 94775, 181177, 180922, 181495, 92092, 92093]",2019-01-06
668,"[107968, 50817, 175555, 166334, 176074, 174603, 158605, 111311, 179666, 181779, 182163, 175955, 107989, 111446, 180569, 104349, 162591, 10400, 168929, 175523, 171241, 108650, 179627, 182123, 112301, 107832, 151548, 175293, 161214, 53503]",2019-01-07
668,"[107968, 108741, 108295, 158989, 175693, 183379, 27988, 107989, 168660, 106965, 111741, 180569, 104349, 108003, 175908, 161214, 183397, 183289, 170408, 183400, 161706, 183211, 183212, 171185, 176050, 168433, 107832, 174777, 183229, 166334]",2019-01-11
568,"[168449, 108292, 132677, 4934, 158460, 162248, 162889, 95049, 151180, 94031, 156436, 104597, 108694, 108951, 108375, 108376, 108954, 163098, 112031, 104481, 91050, 178603, 109613, 108658, 108917, 93878, 88630, 170106, 104379, 108860]",2019-01-12
484,"[157059, 92228, 186385, 155539, 175316, 165205, 178902, 76376, 100255, 182048, 94559, 186335, 185698, 161380, 95529, 186345, 98045, 175213, 170160, 170802, 167924, 104757, 106876, 183865, 180350, 186171, 92092, 92093, 185982, 186303]",2019-01-24
484,"[92228, 155338, 180748, 90765, 94993, 185364, 186644, 165205, 186710, 165213, 109726, 171039, 182048, 94559, 185853, 95529, 92092, 154539, 93867, 179817, 98045, 166457, 170160, 186033, 110314, 186681, 101626, 186684, 92093, 185982]",2019-01-26
966,"[183042, 185794, 184452, 184648, 157001, 175498, 170699, 182158, 168723, 181268, 175380, 184598, 186327, 162073, 170267, 182364, 181405, 69341, 181342, 161246, 166244, 178088, 170858, 178666, 182124, 170478, 155311, 181428, 183674, 186364]",2019-01-26
641,"[13953, 107009, 78470, 109320, 106696, 46154, 111819, 105548, 105743, 86288, 105622, 106198, 187351, 107606, 80857, 108703, 108448, 169699, 23523, 106469, 154922, 106346, 156078, 112432, 107700, 107317, 105716, 108537, 111930, 106749]",2019-02-08
641,"[13953, 107009, 109320, 106696, 111819, 86288, 186640, 13523, 189526, 102679, 187351, 107606, 106454, 108703, 98208, 167329, 23523, 154922, 188332, 162796, 49842, 107700, 107317, 105716, 107892, 106749, 111930, 164859, 107261, 106047]",2019-02-09
1049,"[189120, 175809, 189122, 189121, 189123, 189124, 189125, 189126, 189127, 189128, 189129, 189130, 189131, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189140, 189141, 189142, 189143, 189144, 189145, 189146, 175801, 175805, 189119]",2019-02-14
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189129, 189130, 189131, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189141, 189142, 189143, 189144, 189145, 189146, 189116, 189117, 189118, 189119]",2019-02-17
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189129, 189130, 189131, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189140, 189142, 189143, 189144, 189145, 189146, 189116, 189117, 189118, 189119]",2019-02-19
1061,"[192196, 179398, 187143, 177419, 189515, 166987, 192785, 186449, 192465, 187412, 190996, 192788, 111571, 192727, 191319, 189980, 192378, 187616, 185506, 192226, 182372, 192363, 192236, 192366, 186162, 192370, 192371, 192376, 192313, 192314]",2019-03-01
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189126, 189127, 189128, 189129, 189130, 189131, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189140, 189141, 189142, 189143, 189144, 189145, 189146, 189116, 189117, 189118, 189119]",2019-03-09
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189130, 189131, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189140, 189141, 189142, 189143, 189144, 189145, 189146, 189116, 189117, 189118, 189119]",2019-03-11
1311,"[193857, 195076, 159370, 94477, 193807, 194961, 186833, 194963, 102292, 194067, 195092, 195158, 194072, 194940, 194138, 194971, 195100, 23643, 194140, 194783, 193824, 194721, 194916, 194535, 61745, 192821, 174518, 194680, 193849, 193852]",2019-03-12
983,"[170688, 164803, 162244, 89998, 99344, 108752, 102292, 76376, 195162, 195996, 82782, 162591, 86242, 183909, 107877, 169958, 29994, 190443, 194285, 166702, 174702, 196656, 158191, 49842, 9459, 194106, 193787, 180861, 82366, 170495]",2019-03-16
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189129, 189130, 189131, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189140, 189141, 189142, 189143, 189145, 189146, 189116, 189117, 189118, 189119]",2019-03-18
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189129, 189130, 189131, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189140, 189144, 189145, 189146, 193583, 175801, 189116, 189117, 189118, 189119]",2019-03-19
381,"[181249, 83778, 83139, 82627, 100485, 82630, 101639, 82631, 154378, 182987, 164941, 166481, 180118, 86486, 93145, 208861, 180899, 175528, 105896, 182827, 182956, 208818, 177138, 86068, 82741, 101877, 182841, 179324, 97790, 83583]",2019-03-25
1311,"[194373, 200967, 194894, 208079, 207996, 152658, 195092, 196884, 180118, 194072, 199064, 195226, 196891, 76376, 194781, 193824, 194721, 207780, 196068, 191142, 208868, 208874, 196397, 193711, 193840, 182831, 192821, 194169, 194107, 193852]",2019-03-25
1139,"[95296, 92417, 103106, 211460, 207044, 186833, 185556, 93525, 182230, 194135, 185557, 193177, 185560, 112157, 24030, 63904, 7842, 190114, 108771, 185958, 3243, 14894, 200943, 108657, 102899, 85363, 68405, 2549, 185587, 201981]",2019-04-01
1424,"[170688, 1026, 21123, 157059, 212103, 74312, 68745, 107339, 174547, 210968, 103193, 80857, 211996, 185757, 73053, 9822, 193568, 169958, 210791, 76136, 86892, 101229, 156974, 72622, 84844, 86255, 167792, 212082, 190964, 212414]",2019-04-01
1139,"[74880, 92417, 95296, 185603, 211460, 189761, 180546, 27461, 107851, 186833, 185556, 185557, 182230, 165974, 93525, 193177, 185560, 107681, 7842, 190114, 108771, 186213, 3243, 14894, 214835, 102899, 68405, 185587, 162878, 101439]",2019-04-07
1311,"[216833, 194883, 216773, 214214, 153165, 3918, 190351, 214416, 206797, 210128, 152658, 86483, 186579, 195671, 217050, 193824, 217443, 95141, 200998, 216422, 188009, 93167, 194034, 194355, 211827, 192821, 214069, 217078, 217208, 193531]",2019-04-10
1139,"[95296, 92417, 180546, 211460, 218129, 197649, 57235, 186833, 185556, 185557, 185560, 193177, 185625, 76376, 7842, 108771, 186213, 3047, 186153, 188843, 3243, 217323, 14894, 2283, 102899, 185587, 68405, 85363, 187254, 208893]",2019-04-11
1139,"[95296, 92417, 188105, 33034, 224016, 185617, 111250, 186833, 174547, 185556, 185557, 215510, 165974, 193177, 185560, 76376, 185562, 224085, 7842, 186213, 3243, 2283, 69294, 14894, 85363, 102899, 68405, 185587, 187254, 85048]",2019-04-15
1311,"[216647, 224329, 194955, 225037, 206797, 225999, 225808, 221135, 194194, 219733, 226070, 226075, 193824, 226400, 220452, 215144, 81321, 194859, 218860, 226477, 194606, 225773, 226226, 215219, 226227, 225909, 224186, 194107, 215229, 216190]",2019-04-19
1139,"[95296, 92417, 54855, 186833, 111250, 57235, 185556, 185557, 182230, 102996, 185560, 224085, 93525, 228381, 107681, 7842, 190114, 191905, 186213, 86566, 186153, 3243, 14894, 193071, 186545, 185587, 68405, 228410, 2939, 208893]",2019-04-23
666,"[158848, 217860, 156229, 156233, 111882, 154955, 131724, 156029, 151314, 223957, 156187, 217885, 107681, 112420, 112421, 148840, 155177, 112172, 165103, 212657, 217073, 112242, 154355, 158964, 157045, 12346, 156475, 217917, 158846, 158847]",2019-05-02
666,"[158848, 191040, 228868, 106436, 156229, 156233, 111882, 154955, 131724, 151314, 233235, 209746, 104597, 232923, 230431, 112420, 112421, 148840, 155177, 112172, 165103, 112242, 154355, 155763, 157045, 158964, 156475, 156029, 158846, 158847]",2019-05-06
666,"[217028, 186439, 156233, 111882, 154955, 131724, 226129, 151314, 217043, 194069, 186463, 112420, 112421, 62885, 194086, 148840, 155177, 112172, 165103, 217073, 112242, 154355, 158964, 157045, 191348, 111161, 156475, 156029, 158846, 158847]",2019-05-17
1311,"[251716, 231173, 250950, 229448, 176009, 193993, 250952, 31435, 212944, 156307, 235347, 219733, 226070, 165974, 194135, 193824, 212393, 252714, 238059, 237996, 233196, 194606, 239854, 91634, 175858, 242676, 192821, 231669, 237948, 187324]",2019-05-18
1139,"[64834, 38724, 195719, 110471, 157769, 187084, 186833, 111250, 185556, 185557, 165974, 182230, 93525, 332313, 185558, 185562, 188509, 107681, 7842, 190114, 186983, 186153, 217323, 107884, 14894, 185587, 324084, 302451, 71542, 20344]",2019-05-21
1311,"[191680, 157000, 159370, 390795, 390734, 152658, 226070, 181183, 235292, 193824, 227937, 390691, 327715, 231971, 390694, 226212, 290276, 217513, 228453, 390827, 237996, 390764, 390190, 235246, 177393, 237618, 224628, 225078, 390646, 222399]",2019-05-26
1049,"[175809, 189122, 230521, 217343, 189126, 217351, 189128, 217353, 217354, 189130, 217356, 189131, 217358, 189132, 95249, 189139, 189140, 189141, 189142, 189144, 189145, 189146, 217326, 193583, 217328, 217334, 175801, 217339, 217341, 189119]",2019-05-27
1049,"[175809, 189122, 217351, 189127, 217353, 189128, 189129, 189130, 217358, 189134, 95249, 189137, 189138, 189139, 189141, 189142, 189143, 189144, 189145, 189146, 188645, 391656, 193583, 217328, 217330, 217332, 217336, 217339, 189117, 189118]",2019-05-29
666,"[158848, 217860, 156229, 156233, 111882, 154955, 151314, 212629, 158846, 194075, 153243, 217885, 312157, 112421, 106983, 148840, 166570, 180525, 108975, 165103, 212657, 234865, 112242, 154355, 390837, 157045, 217080, 217917, 157886, 158847]",2019-06-02
1604,"[158336, 75842, 395780, 395782, 237449, 390026, 162954, 390090, 167821, 395902, 221967, 95440, 344209, 86483, 209366, 76376, 392664, 395931, 225566, 218464, 189676, 392044, 392687, 93167, 9459, 233269, 186486, 79609, 294075, 24446]",2019-06-11
1030,"[230467, 396421, 394117, 396742, 396743, 237769, 234250, 396627, 233620, 396692, 396695, 230876, 230877, 396641, 189026, 162595, 188131, 228067, 231397, 232549, 237287, 230825, 389865, 396650, 392112, 390833, 311344, 231286, 396666, 396607]",2019-06-13
1786,"[398400, 109379, 398275, 396872, 396632, 396570, 398619, 398555, 398946, 398947, 396006, 398950, 398951, 398953, 398954, 398763, 398764, 398765, 398766, 398767, 398768, 398955, 398770, 398956, 398957, 397169, 395190, 397303, 398968, 398267]",2019-06-19
666,"[158848, 156229, 156233, 154955, 131724, 166221, 109390, 226129, 151314, 390354, 398740, 217876, 194075, 186463, 112420, 112421, 148840, 155177, 178603, 112172, 112242, 158964, 157045, 108860, 399351, 395899, 177596, 156029, 158846, 158847]",2019-06-27
1139,"[95296, 92417, 185603, 186245, 401800, 401292, 185871, 70799, 186833, 402323, 185556, 185557, 165974, 185558, 230430, 402144, 190114, 7842, 216418, 402343, 186153, 3243, 402162, 102899, 324084, 68405, 185587, 71542, 2939, 402364]",2019-06-30
381,"[83778, 82627, 82630, 101639, 82631, 84617, 154378, 84043, 164941, 403022, 168274, 402579, 85973, 86486, 403030, 391193, 93145, 83229, 89696, 103714, 180899, 403172, 237290, 177579, 102315, 394923, 95469, 177138, 403005, 82494]",2019-07-03
666,"[158848, 185920, 396097, 109892, 26501, 162889, 111882, 223499, 190410, 404688, 395153, 151314, 194205, 109856, 402403, 112420, 112421, 404837, 148840, 155177, 166570, 178603, 112172, 165103, 154355, 397748, 158964, 191609, 156475, 158846]",2019-07-07
1049,"[189120, 175809, 189121, 217349, 189127, 189128, 217353, 217354, 189129, 189130, 217358, 189136, 209425, 189141, 189143, 189146, 217326, 217327, 217328, 217341, 217332, 391285, 31734, 217334, 217336, 175801, 217339, 189116, 175805, 189118]",2019-07-07
1049,"[217345, 175809, 189122, 217348, 217349, 217350, 189121, 189124, 217353, 189125, 189131, 217343, 232461, 217358, 189136, 189138, 189142, 189143, 189144, 189145, 189146, 193583, 217327, 217328, 217341, 31734, 217337, 175805, 189118, 189119]",2019-07-10
